id,name,status,marki,sity,adress,X,Y,telefon,site,time1,time2,pay
S2176,Элерон. автосервис,Независимый,Все марки,Москва,Генерала Белова. 14 ст5,37.718572,55.61775263,(499) 725-02-30 (единая справочная),,,,Наличный расчет
S2177,Эллиус. техцентр,Независимый,Все марки,Москва,Чермянский проезд. 5 - 1 этаж,37.63294685,55.88709803,(495) 507-77-79,www.ellius.ru,,,Наличный расчет. Оплата через банк. через банк
S2178,Энтузиаст-Авто. СТО,Независимый,Все марки,Москва,Гаражная. 4 - 1 этаж,37.7426293,55.75863162,(495) 673-00-90. (495) 673-03-01,,,,Наличный расчет. Visa. MasterCard
S2179,Эстаер. автосервис,Независимый,Все марки,Москва,Юных Ленинцев. 71 к1,37.76795269,55.70016977,8-916-631-74-85. 8-926-229-23-83,,,,Наличный расчет
S2180,Эстакада. автосервис,Независимый,Все марки,Москва,Яблочкова. ст47,37.57427792,55.83143401,(495) 610-66-07,www.автосервис-эстакада.рф,,,Наличный расчет
S2181,Эстакада. автотехцентр,Независимый,Все марки,Москва,Вернадского проспект. 78 ст10,37.48071154,55.67282704,(499) 713-25-52. (499) 713-26-62,estakada.msk.ru/,9:00-21:00,9:00-21:00,Наличный расчет
S2182,Этуам. автотехцентр,Независимый,Все марки,Москва,Нижние Мнёвники. 39,37.45735704,55.75437259,8-963-788-88-07,,,,Наличный расчет
S2183,ЮВС-моторс. автотехцентр,Независимый,Все марки,Москва,Южнопортовая. 15,37.69872484,55.707582,(495) 507-60-75,,,,Наличный расчет
S2184,Юкарс. ООО. автотехцентр,Независимый,Все марки,Москва,Каширский проезд. 19 - 1 этаж,37.62502805,55.65591458,8-925-514-64-09,www.remont-kuzova.ru,,,Наличный расчет
S2185,Юкар-Лефортово. автосервис,Независимый,Все марки,Москва,Красноказарменная. 12 ст28,37.69977027,55.75540559,(495) 361-99-66,,,,Наличный расчет
S2186,ЮЛИАН АВТО. станция техобслуживания,Независимый,Все марки,Москва,Нижняя Масловка. 15,37.57452777,55.79107895,8-925-774-80-82,,,,Наличный расчет
S2187,Юна-Авто. автосервис,Независимый,Fiat. Alfa Romeo. Lancia ,Москва,Большая Академическая. 38д,37.53445363,55.83215613,(495) 648-54-50,www.italcars.ru,9:00-21:00,9:00-21:00,Наличный расчет
S2188,Юнит авто. сеть техцентров,Независимый,Все марки,Москва,Дмитровское шоссе. 137,37.5422162,55.89170787,,,,,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
S2189,ЮСТА. автотехцентр,Независимый,Все марки,Москва,Нижегородская. 74,37.71236725,55.73275564,8-916-097-12-12,www.yusta-auto.ru,10:00-21:00,10:00-21:00,Наличный расчет
S2190,Юст-Сервис. автосервис,Независимый,Subaru,Москва,Верхнелихоборская. 8,37.55856028,55.85284123,(495) 542-87-72,subaru-prosport.ru,10:00-20:00,11:00-21:00,Наличный расчет. Оплата через банк. через банк
S2191,ЮтоллАвто. автотехцентр,Независимый,Все марки,Москва,Ижорская. 6 ст33,37.49885714,55.87909653,(495) 973-40-62. (495) 486-62-62,www.utallauto.ru,,,Наличный расчет. Оплата через банк. через банк
S2192,ЯпонСалон. автосалон,Независимый,Все марки,Москва,Нагорный проезд. 12г ст2 - 1 этаж,37.61036262,55.68567946,(495) 641-28-78. 8-916-242-40-45,www.yaponsalon.ru,10:00-19:00,10:00-19:00,Наличный расчет. Оплата через банк. через банк
S2193,Ярославка. автотехцентр,Независимый,Все марки,Пушкино (Пушкинский район),Западная. 31,37.8268866,56.02131047,(499) 343-85-46,yaroslavka.ru,,,Наличный расчет
